date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:29	2288030/2288030	---M--	200	added ('OK')	image/png	etag:%225db6b42a-22e99e%22	https://www.linux4sam.org/pub/Linux4SAM/WebHome/SAM9X60-EK-PCB1.PNG	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/pub/Linux4SAM/WebHome/SAM9X60-EK-PCB1.png	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:32	73116/73116	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:30%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/GettingStarted	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/GettingStarted.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:34	42996/42996	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:34%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/AT91Bootstrap	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/AT91Bootstrap.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:36	87936/87936	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:36%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/U-Boot	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/U-Boot.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:38	98007/98007	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:38%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/LinuxKernel	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/LinuxKernel.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:41	33111/33111	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:39%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM/DT-Overlay	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM/DT-Overlay.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:42	92614/92614	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:42%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM?sortcol=0;table=1;up=0	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM33a1.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:45	92614/92614	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:44%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM?sortcol=1;table=1;up=0	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM44bd.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:47	92614/92614	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:46%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM?sortcol=2;table=1;up=0	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAM76e2.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
20:45:49	92614/92614	---MCZ	200	added ('OK')	text/html	date:Mon,%2005%20Jul%202021%2018:45:48%20GMT	https://www.linux4sam.org/bin/view/Linux4SAM?sortcol=3;table=1;up=0	/home/pvilchez/tmp/Linux4SAM/www.linux4sam.org/bin/view/Linux4SAMb21c.html	(from https://www.linux4sam.org/bin/view/Linux4SAM)
